execution_order,security_id,ticker,exchange,pilot_role,priority_tier,methodology_edge_case,known_evidence_tags,history_tier,base_5y_target_start,base_5y_target_end,base_5y_status,target_start,target_end,identity_intervals,existing_history_status,existing_history_source_run,existing_history_contract,history_registry_reference,acquisition_action,crawl_required,crawl_allowed,estimated_quarter_ranges,estimated_pages,estimated_requests,blocking_reason
11,KBS:HOSE:MBB,MBB,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",PARTIAL,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
12,VCI:2625,MSN,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2009-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MSN""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
13,KBS:HOSE:MWG,MWG,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2014-07-14"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MWG""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
14,VCI:2878,PVD,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2006-12-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PVD""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
15,VCI:2888,PVS,HNX,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2007-09-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVS""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
16,KBS:UPCOM:QNS,QNS,UPCOM,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2016-12-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""QNS""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
17,VCI:2929,REE,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2000-07-28"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""REE""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
18,VCI:3084,SSI,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2006-12-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""SSI""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
19,KBS:UPCOM:VEA,VEA,UPCOM,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2018-07-02"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VEA""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
20,KBS:UPCOM:VGI,VGI,UPCOM,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2018-09-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VGI""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
21,VCI:3478,VNM,HOSE,CORE_MARKET,TIER_A,NO,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2006-01-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VNM""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
22,KBS:HNX:NTP,NTP,HNX,CORE_MARKET,TIER_B,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2006-12-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""NTP""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
23,KBS:HNX:PVI,PVI,HNX,CORE_MARKET,TIER_B,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2007-08-10"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVI""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
24,KBS:HNX:VCS,VCS,HNX,CORE_MARKET,TIER_B,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2007-12-17"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""VCS""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
25,KBS:HOSE:BCM,BCM,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2018-07-10"",""effective_to"":""2020-08-30"",""evidence_id"":""EV-BCM-001"",""exchange"":""UPCOM"",""ticker"":""BCM""},{""effective_from"":""2020-08-31"",""effective_to"":null,""evidence_id"":""EV-BCM-001"",""exchange"":""HOSE"",""ticker"":""BCM""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,21,80,80,
26,KBS:HOSE:CTR,CTR,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,YES,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2018-12-06"",""effective_to"":""2022-02-22"",""evidence_id"":""EV-CTR-001"",""exchange"":""UPCOM"",""ticker"":""CTR""},{""effective_from"":""2022-02-23"",""effective_to"":null,""evidence_id"":""EV-CTR-001"",""exchange"":""HOSE"",""ticker"":""CTR""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,22,80,80,
27,KBS:HOSE:SHB,SHB,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,YES,EXCHANGE_TRANSFER_IDENTITY,BASE_5Y,2021-09-23,2026-09-23,ACQUISITION_REQUIRED,2021-09-23,2026-09-23,"[{""effective_from"":""2009-04-20"",""effective_to"":""2021-10-10"",""evidence_id"":""EV-SHB-001"",""exchange"":""HNX"",""ticker"":""SHB""},{""effective_from"":""2021-10-11"",""effective_to"":null,""evidence_id"":""EV-SHB-001"",""exchange"":""HOSE"",""ticker"":""SHB""}]",NOT_STARTED,,,,CRAWL_BASE_5Y,YES,YES,22,80,80,
