execution_order,security_id,ticker,exchange,pilot_role,priority_tier,selection_reason,known_evidence_tags,identity_status,identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_pages,estimated_requests,methodology_edge_case,crawl_allowed,blocking_reason
11,KBS:HOSE:MBB,MBB,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2011-11-01"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MBB""}]",2011-11-01,2011-11-01,2026-09-23,LISTING_BOUNDARY,188,188,NO,YES,
12,VCI:2625,MSN,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MSN""}]",2009-11-05,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
13,KBS:HOSE:MWG,MWG,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-07-14"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MWG""}]",2014-07-14,2014-07-14,2026-09-23,LISTING_BOUNDARY,154,154,NO,YES,
14,VCI:2878,PVD,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PVD""}]",2006-12-05,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
15,VCI:2888,PVS,HNX,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY;METHODOLOGY_COVERAGE,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-09-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVS""}]",2007-09-20,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,YES,YES,
16,KBS:UPCOM:QNS,QNS,UPCOM,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-12-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""QNS""}]",2016-12-20,2016-12-20,2026-09-23,LISTING_BOUNDARY,123,123,NO,YES,
17,VCI:2929,REE,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2000-07-28"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""REE""}]",2000-07-28,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
18,VCI:3084,SSI,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""SSI""}]",2006-12-15,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
19,KBS:UPCOM:VEA,VEA,UPCOM,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-07-02"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VEA""}]",2018-07-02,2018-07-02,2026-09-23,LISTING_BOUNDARY,104,104,NO,YES,
20,KBS:UPCOM:VGI,VGI,UPCOM,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-09-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""VGI""}]",2018-09-25,2018-09-25,2026-09-23,LISTING_BOUNDARY,101,101,NO,YES,
21,VCI:3478,VNM,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-01-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""VNM""}]",2006-01-19,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
22,KBS:HNX:NTP,NTP,HNX,CORE_MARKET,TIER_B,CORE_MARKET;REPRESENTATIVE_REMAINDER;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-11"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""NTP""}]",2006-12-11,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
23,KBS:HNX:PVI,PVI,HNX,CORE_MARKET,TIER_B,CORE_MARKET;REPRESENTATIVE_REMAINDER;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-08-10"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVI""}]",2007-08-10,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
24,KBS:HNX:VCS,VCS,HNX,CORE_MARKET,TIER_B,CORE_MARKET;REPRESENTATIVE_REMAINDER;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-12-17"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""VCS""}]",2007-12-17,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
25,KBS:HOSE:BCM,BCM,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,METHODOLOGY_COVERAGE,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,VERIFIED_TRANSFER,"[{""effective_from"":""2018-07-10"",""effective_to"":""2020-08-30"",""evidence_id"":""EV-BCM-001"",""exchange"":""UPCOM"",""ticker"":""BCM""},{""effective_from"":""2020-08-31"",""effective_to"":null,""evidence_id"":""EV-BCM-001"",""exchange"":""HOSE"",""ticker"":""BCM""}]",2018-02-21,2018-07-10,2026-09-23,VERIFIED_IDENTITY_BOUNDARY,104,104,YES,YES,
26,KBS:HOSE:CTR,CTR,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,METHODOLOGY_COVERAGE,EXCHANGE_TRANSFER_IDENTITY;REPRESENTATIVE_PILOT_EVIDENCE,VERIFIED_TRANSFER,"[{""effective_from"":""2018-12-06"",""effective_to"":""2022-02-22"",""evidence_id"":""EV-CTR-001"",""exchange"":""UPCOM"",""ticker"":""CTR""},{""effective_from"":""2022-02-23"",""effective_to"":null,""evidence_id"":""EV-CTR-001"",""exchange"":""HOSE"",""ticker"":""CTR""}]",2017-10-31,2018-12-06,2026-09-23,VERIFIED_IDENTITY_BOUNDARY,99,99,YES,YES,
27,KBS:HOSE:SHB,SHB,HOSE,METHODOLOGY_EDGE_CASE,TIER_C,METHODOLOGY_COVERAGE,EXCHANGE_TRANSFER_IDENTITY,VERIFIED_TRANSFER,"[{""effective_from"":""2009-04-20"",""effective_to"":""2021-10-10"",""evidence_id"":""EV-SHB-001"",""exchange"":""HNX"",""ticker"":""SHB""},{""effective_from"":""2021-10-11"",""effective_to"":null,""evidence_id"":""EV-SHB-001"",""exchange"":""HOSE"",""ticker"":""SHB""}]",,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,YES,YES,
